Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Jailangkung;2017;13+; Horror            ;86 min;3,7;283;Rizal Mantovani;Jose Poernomo;Amanda Rawles;Jefri Nichol;Hannah Al Rashid
Jailangkung 2;2018;13+; Horror            ;83 min;4,3;154;Rizal Mantovani;Jose Poernomo;Amanda Rawles;Jefri Nichol;Hannah Al Rashid
The Uninvited;2001;13+; Horror            ;102 min;6,5;365;Rizal Mantovani;Jose Poernomo;Winky Wiryawan;Melanie Ariyanto;Rony Dozer
Munysera;2017;13+; Short, Drama            ;26 min;;;Ali Bayanudin Kilbaren;Josephus Kelabora;Fredy Coar Tiwery;Ricky Wakim;N/A
Petualangan 100 Jam;2004;13+; Adventure, Drama            ;109 min;7,7;8;Winaldha E. Melalatoa;Joshua;Marshanda;Mathias Muchus;N/A
Gedoran Depok;2019;13+; Documentary, Short            ;12 min;;;Bobby Zarkasih;Joshua Jonathan Dolf;Msi Dr. Tri Wahyuning M. Irsyam;Valentino Jonathans;Arnold Noche
Joshua Oh Joshua;2001;TV-G; Comedy, Family, Musical            ;90 min;6,5;159;Edward Sirait;Joshua Suherman;Anjasmara;Jodi;Cut Keke
Yowis Ben: The Series;2020;TV-14; Comedy, Drama            ;30 min;8,2;65;Bayu Skak;Joshua Suherman;Brandon Salim;Tutus Thomson;N/A
Kastil Tua;2015;13+; Horror            ;83 min;;;Chiska Doppert;Josiah Hogan;Samantha Katie James;Ajun Perwira;Kimberly Ryder
Vain;2015;13+; Short, Action, Drama            ;3 min;;;Jossen Eliata Thenario;Jossen Eliata Thenario;Nathanael Finian;Bryan Christian Mulia;N/A
Fear;2015;13+; Short, Action            ;2 min;;;Jossen Eliata Thenario;Jossen Eliata Thenario;Yosafat Thenario;N/A;N/A
Happy Go Jenny;2022;13+; Comedy, Drama, Romance            ;39 min;;;Lakonde;Jourdy Pranata;Debo Andryos;Abun Sungkar;Prilly Latuconsina
One Night Stand;2021;13+; Drama, Romance;80 min;7,5;6;Adriyanto Dewo;Jourdy Pranata;Putri Marino;Elang El Gibran;Tegar Satrya
Dear to Me;2021;13+; Short            ;19 min;8,3;50;Monica Vanesa Tedja;Jourdy Pranata;Willem Bevers;Wani Siregar;Jerome Kurnia
Beyond Creator Indonesian Youtubers;2021;13+; Documentary            ;;9;7;Martin Anugrah;Jovial Da Lopez;Cameo Project;Andovi Da Lopez;N/A
Gila Jiwa: Illogically Sane;2016;13+; Drama            ;82 min;;;Ria Irawan;Jovial Da Lopez;Hery Purnomo;Joshua Suherman;Nagra Kautsar Pakusadewo
Teh Botol Sosro Kulineria web-series;2017;13+; Comedy            ;;;;Wisnu Surya Pratama;Jovial Da Lopez;N/A;Andovi Da Lopez;N/A
Relationshit;2015;13+; Comedy            ;90 min;7,7;13;Herdanius Larobu;Jovial Da Lopez;Natasha Wilona;Anjani Dina;Bayu Skak
Manipulator;2020;13+; Short, Drama            ;17 min;;;Ferry Irwandi;Jovial Da Lopez;Raysha Eca;Ruby Gang;Ferry Irwandi
Father & Son;2022;R13+; Drama, Fantasy            ;76 min;7,1;9;Danial Rifki;Juan Bione Subiantoro;Dwi Sasono;Cassandra Lee;Kinaryosih
Anak Ajaib;2008;13+; Comedy            ;;;;Tjandra Warasto;Juan Bione Subiantoro;El Manik;Vanessa Hinkel;Keisha Ratuliu
Srimulat: Hil yang Mustahal - Babak Pertama;2022;R13+; Biography, Comedy, Drama            ;110 min;7,2;118;Fajar Nugros;Juan Bione Subiantoro;Elang El Gibran;Dimas Anggara;Ibnu Jamil
Friendship Is Like a Cocoon;2021;13+; Comedy, Drama            ;94 min;6,5;26;Sentot Sahid;Juan Bione Subiantoro;Yasmin Napper;Beby Tsabina;Shanice Margaretha
As Far as We Could Get;2019;13+; Short            ;26 min;;;Ivan Argote;Juan Esteban Gaona;Humberto Guevara;Claudia Marroquin;Haris Wijaya
Si Jago Merah 2: Air & Api;2015;13+; Action, Comedy, Drama            ;99 min;6,7;17;Raymond Handaya;Judika Sihotang;Deddy Mahendra Desta;Dion Wiyoko;Tarra Budiman
Frantic;2020;13+; Short, Romance            ;17 min;;;Aka Witharja;Julfikar Maha Putera;Ajeng Sharfina;N/A;N/A
Hantu Jamu Gendong;2009;13+; Horror, Mystery, Thriller            ;90 min;3,7;33;Nayato Fio Nuala;Julia Perez;Dimas Aditya;Fendi Trihartanto;Rina Hassim
Kutukan Arwah Santet;2012;13+; Horror            ;81 min;6,8;17;Hanny Mustofa;Julia Perez;Dwi A.P.;Ajeng;Jenny Cortez
Sumpah (Ini) Pocong!;2009;13+; Comedy, Horror            ;93 min;4,3;27;Helfi C.H. Kardit;Julia Perez;Jarwo Kwat;Aming Sugandhi;Udjie Tongky
The Chanting;2006;13+; Horror            ;93 min;5,9;466;Rizal Mantovani;Julie Estelle;Evan Sanders;Ratu Felisha;Alice Iskak
The Chanting 3;2008;D; Horror            ;90 min;5,2;206;Rizal Mantovani;Julie Estelle;Ida Iasha;Imelda Therinne;Reza Pahlevi
Killer Express;2016;13+; Short, Action            ;5 min;;;Angga Dwimas Sasongko;Julie Estelle;N/A;N/A;N/A
BrokenHearts;2012;13+; Drama, Romance            ;96 min;6,9;77;Helfi C.H. Kardit;Julie Estelle;Reza Rahadian;Darius Sinathrya;Rani Agustina
Firegate;2016;13+; Adventure, Fantasy, Horror            ;113 min;5,4;157;Rizal Mantovani;Julie Estelle;Reza Rahadian;Ray Sahetapy;Dwi Sasono
Letters from Prague;2016;TV-14; Drama, Musical, Romance            ;97 min;7,2;361;Angga Dwimas Sasongko;Julie Estelle;Tio Pakusadewo;Rio Dewanto;Widyawati
Mr. Spies;2016;13+; Documentary, Short            ;21 min;;;Putri R.A.E. Harbie;Julie Hartanti;N/A;N/A;N/A
