Title;Year;Rated;Genre;Runtime (Minutes);Rating;Votes;Director;Star 1;Star 2;Star 3;Star 4
Tim Pegulat: Terinspirasi dari lagu IRAMA;2021;13+; Short, Comedy            ;19;1,8;113;Kunto Aji;Surya Penny;Sal Priadi;Koen Hilal;Kristo Immanuel
Jakarta Hati;2012;13+; Drama            ;114;5,7;137;Salman Aristo;Surya Saputra;Asmirandah;Daffy Ariaga;Slamet Rahardjo
Strawberry;2003;13+; Drama;83;3,8;161;Tengku Firmansyah;Surya Saputra;Rachel Maryam Sayidina;;
The Chanting 2;2007;13+; Horror            ;102;5,6;186;Rizal Mantovani;Sutan Amanullah;Bella Esperance;Julie Estelle;Ibnu Jamil
Hantu Ambulance;2008;13+; Horror            ;88;3,1;34;Nayato Fio Nuala;Suzzanna;William Alvin;Dimaz Andrean;Fitri Ayu
Kostum;2015;13+; Short, Drama            ;3;7,6;27;Tengku Iskhandar;Svetlana Dea;Tengku Iskhandar;Petir;Andrie Sasono
1000 Kilometer;2016;13+; Documentary            ;48;6,9;20;Ilham Nuriadi;Syafwin Bajumi;Yusuf Abdul Jamil;Raihan Ahmad Ramdhani;Veroland
Bodyguard Ugal-Ugalan;2018;13+; Comedy            ;91;5,5;64;Irham Acho Bahtiar;Syahrini;Tamara Blezinski;Boris Bokir;Muhadkly Acho
The Candidate;2015;13+; Documentary, Short            ;42;3,3;50;Doddy Fa;Syaiful Halim;Suratmi;;
Akhirnya;2018;13+; Short, Drama, Family            ;5;1,8;36;Glen Susanto;Syailendra Abadi;Syailendra Abadi;Pingkan Tumbelaka;
Sin;2019;13+; Short, Drama, Romance            ;19;3,7;22;Muhammad Aditya Saputra;Syfa Destiana Salsabiela;Muhammad Aditya Saputra;;
Sandal;2016;13+; Short, Drama            ;5;8,5;8;Jeiji Joned;Syifa Aura Azahra;Anindya Putri;Nia Ramadhani;Julianti
Story for Geri;2021;TV-14; Drama, Romance            ;50;8,5;1320;Angga Yunanda;Syifa Hadju;Jennifer Coppen;Elina Joerg;
The Way I Love You;2019;13+; Drama            ;94;8,3;97;Rudi Aryanto;Syifa Hadju;Rizky Nazar;Tissa Biani Azzahra;Baskara Mahendra
Bittersweet Seventeen;2022;13+; Drama, Fantasy            ;22;8,6;208;Hanung Bramantyo;Syifa Hadju;Stefhani Zamora Husen;Wanda Hamidah;Rizky Nazar
Melu;2017;13+; Short, Horror            ;12;1,5;200;Bobby Zarkasih;Syifa Salsabila;Stefana Gloria;;
Titik Nol;2009;13+; Short            ;12;1,7;192;Nicholas Yudifar;Syukran Aldiansyah;Agus Nur Amal;Syukran;
Jokowi;2013;13+; Biography, Drama            ;117;6,4;185;Azhar Kinoi Lubis;T. Rifnu Wikana;Prisia Nasution;Susilo Badar;Farisah
Night Bus;2017;17+; Crime, Thriller            ;139;6,9;194;Emil Heradi;T. Rifnu Wikana;Yayu A.W. Unru;Edward Akbar;Hana Prinantina
Pasukan Garuda: I Leave My Heart in Lebanon;2016;13+; Action, Drama, War            ;93;6,8;15;Benni Setiawan;T.B. Silalahi;Rio Dewanto;Jowy Khoury;Revalina S. Temat
Minor;2019;13+; Documentary, Short            ;39;4,6;11;Vena Besta Klaudina;Takziyatun Nufus;Vena Besta Klaudina;;
Issue;2005;13+; Thriller            ;92;6,2;7;Gunawan Paggaru;Tamara Blezinski;Adrian Maulana;August Melasz;
Air Terjun Pengantin Phuket;2013;13+; Horror, Thriller            ;83;5,2;53;Rizal Mantovani;Tamara Blezinski;Darius Sinathrya;Kimberly Ryder;Udeh Nans
Air Terjun Pengantin;2009;13+; Horror            ;80;3,6;223;Rizal Mantovani;Tamara Blezinski;Marcel Chandrawinata;Tyas Mirasih;Kieran Sidhu
Arumi, Night Is Blue;2021;13+; Drama, Romance            ;84;7,6;10;Je Yatmoko;Tania Ngesta;Dian Pratama;Adam Radja;Vira Respaty
Awal & Akhir;2021;13+; Drama, Music            ;12;3,3;8;Roy Sungkono;Tanta Ginting;Azizah Hanum;Gilbert Pohan;
Jack dan Danil;2022;13+; Drama            ;10;9,1;7;Surya Ardy Octaviand;Tanta Ginting;Dian Sidik;Lania Fira;Ghita Bhebhita
Royal Blood;2022;R; Drama            ;42;9,5;8;Eko Kristianto;Tanta Ginting;Shakira Jasmine;Banyu Bening;Maudy Koesnaedi
Promoter in Paradise;2019;13+; Short, Comedy            ;28;5,9;29;Joseph J.U. Taylor;Tara Adia;Natasha Gott;Sarah Mühlhause;Friska Aldilla
Impetigore;2019;17+; Horror, Mystery, Thriller            ;106;6,6;5801;Joko Anwar;Tara Basro;Ario Bayu;Marissa Anita;Christine Hakim
